feature_avg_correlation,intrinsic_dimensionality_ratio,model_name,n_features,n_samples,out_hull_ratio,train_f1,val_f1,val_f1_in_hull,val_f1_out_hull
0.6272758913313069,0.16129032258064516,1,62,74,1.0,1.0,0.6571428571428571,,0.6571428571428571
0.6379273791842094,0.16129032258064516,1,62,74,1.0,1.0,0.6507936507936508,,0.6507936507936508
0.6410998109938872,0.16129032258064516,1,62,74,1.0,1.0,0.6476190476190476,,0.6476190476190476
0.6224789012692852,0.16129032258064516,1,62,74,1.0,1.0,0.6,,0.6
0.6376227735919013,0.16129032258064516,0,62,74,1.0,0.9376803751803752,0.3958333333333333,,0.3958333333333333
0.6167217359849554,0.1774193548387097,0,62,74,1.0,0.9230202430812188,0.5795454545454545,,0.5795454545454545
0.6093743530876286,0.16129032258064516,0,62,74,1.0,0.9212778188387944,0.5833333333333335,,0.5833333333333335
0.6749421290744895,0.1774193548387097,0,62,74,1.0,0.9232967222425053,0.6515151515151514,,0.6515151515151514
0.6548452491386763,0.1774193548387097,0,62,74,1.0,0.92404107541222,0.8730158730158731,,0.8730158730158731
0.634961711587788,0.1774193548387097,0,62,74,1.0,0.9241459813233298,0.3836734693877552,,0.3836734693877552
0.6272758913313069,0.16129032258064516,0,62,74,1.0,0.8910921081695119,0.8707482993197277,,0.8707482993197277
0.6379273791842094,0.16129032258064516,0,62,74,1.0,0.9394975292931168,0.6507936507936508,,0.6507936507936508
0.6410998109938872,0.16129032258064516,0,62,74,1.0,0.9241459813233298,0.6507936507936508,,0.6507936507936508
0.6224789012692852,0.16129032258064516,0,62,74,1.0,0.9395317588763012,0.6,,0.6
0.6376227735919013,0.16129032258064516,2,62,74,1.0,0.7958728067423718,0.4583333333333333,,0.4583333333333333
0.6167217359849554,0.1774193548387097,2,62,74,1.0,0.6420729029424681,0.4807692307692308,,0.4807692307692308
0.6093743530876286,0.16129032258064516,2,62,74,1.0,0.6420729029424681,0.4807692307692308,,0.4807692307692308
0.6749421290744895,0.1774193548387097,2,62,74,1.0,0.7542524815252086,0.5208333333333333,,0.5208333333333333
0.6548452491386763,0.1774193548387097,2,62,74,1.0,0.6838972293955443,0.7922077922077922,,0.7922077922077922
0.634961711587788,0.1774193548387097,2,62,74,1.0,0.6827703587326527,0.4155844155844156,,0.4155844155844156
0.6272758913313069,0.16129032258064516,2,62,74,1.0,0.6435290534124096,0.4155844155844156,,0.4155844155844156
0.6379273791842094,0.16129032258064516,2,62,74,1.0,0.6638970097963789,0.6507936507936508,,0.6507936507936508
0.6410998109938872,0.16129032258064516,2,62,74,1.0,0.71696230095722,0.6476190476190476,,0.6476190476190476
0.6224789012692852,0.16129032258064516,2,62,74,1.0,0.6470089658186441,0.4155844155844156,,0.4155844155844156
0.6983504363944503,0.16129032258064516,1,62,74,1.0,1.0,1.0,,1.0
0.7669890962312765,0.16129032258064516,1,62,74,1.0,1.0,0.8173076923076923,,0.8173076923076923
0.5966758515407014,0.1774193548387097,1,62,74,1.0,1.0,0.9318181818181815,,0.9318181818181815
0.6564534085786622,0.1774193548387097,1,62,74,1.0,1.0,0.8173076923076923,,0.8173076923076923
0.680552293635711,0.16129032258064516,1,62,74,1.0,1.0,0.7922077922077922,,0.7922077922077922
0.6996357674352666,0.16129032258064516,1,62,74,1.0,1.0,1.0,,1.0
0.6735602413445853,0.16129032258064516,1,62,74,1.0,1.0,0.7922077922077922,,0.7922077922077922
0.6841936587560907,0.16129032258064516,1,62,74,1.0,1.0,0.7922077922077922,,0.7922077922077922
0.7232337312627422,0.1774193548387097,1,62,74,1.0,1.0,0.5952380952380951,,0.5952380952380951
0.680886830542043,0.1774193548387097,1,62,74,1.0,1.0,0.7922077922077922,,0.7922077922077922
0.6983504363944503,0.16129032258064516,0,62,74,1.0,1.0,1.0,,1.0
0.7669890962312765,0.16129032258064516,0,62,74,1.0,1.0,0.8173076923076923,,0.8173076923076923
0.5966758515407014,0.1774193548387097,0,62,74,1.0,1.0,0.9318181818181815,,0.9318181818181815
0.6564534085786622,0.1774193548387097,0,62,74,1.0,1.0,0.875,,0.875
0.680552293635711,0.16129032258064516,0,62,74,1.0,1.0,0.7922077922077922,,0.7922077922077922
0.6996357674352666,0.16129032258064516,0,62,74,1.0,1.0,1.0,,1.0
0.6735602413445853,0.16129032258064516,0,62,74,1.0,1.0,0.6666666666666669,,0.6666666666666669
0.6841936587560907,0.16129032258064516,0,62,74,1.0,1.0,0.7922077922077922,,0.7922077922077922
0.7232337312627422,0.1774193548387097,0,62,74,1.0,1.0,0.7922077922077922,,0.7922077922077922
